cwe,lang,func_name,source,description,func_src_before,func_src_after
cwe-190,c,alloc_matrix,CERT C INT32-C,Signed integer multiplication overflow in buffer size calculation,"#include <stdlib.h>
/* VULNERABLE: rows*cols may overflow int before cast to size_t */
int *alloc_matrix(int rows, int cols) {
    int *mat = malloc(rows * cols * sizeof(int));  /* CWE-190 */
    return mat;
}","#include <stdlib.h>
#include <limits.h>
/* SECURE: check each multiplication individually using size_t arithmetic */
int *alloc_matrix(int rows, int cols) {
    if (rows <= 0 || cols <= 0) return NULL;
    size_t r = (size_t)rows, c = (size_t)cols;
    if (c != 0 && r > SIZE_MAX / c) return NULL;     /* overflow check */
    if (r * c > SIZE_MAX / sizeof(int)) return NULL; /* second check */
    return malloc(r * c * sizeof(int));
}"
cwe-190,c,alloc_array,CERT C INT30-C,Unsigned integer wrap-around used to compute allocation size,"#include <stdlib.h>
#include <stdint.h>
/* VULNERABLE: n * sizeof(uint32_t) wraps if n > SIZE_MAX/4 */
uint32_t *alloc_array(size_t n) {
    return malloc(n * sizeof(uint32_t));  /* CWE-190: silent wrap */
}","#include <stdlib.h>
#include <stdint.h>
#include <limits.h>
/* SECURE: check before multiplying */
uint32_t *alloc_array(size_t n) {
    if (n > SIZE_MAX / sizeof(uint32_t)) return NULL;
    return malloc(n * sizeof(uint32_t));
}"
cwe-190,c,mymalloc,"Wheeler, Secure-Programs-HOWTO §6.1 (Timo Sirainen example #2)",Integer truncation: 64-bit size_t narrowed to 32-bit in custom allocator,"#include <stdlib.h>
#include <stdint.h>
/* VULNERABLE: unsigned int parameter truncates 64-bit size_t on 64-bit platforms */
void *mymalloc(unsigned int size) {  /* CWE-190: truncation */
    return malloc(size);
}
/* caller: */
void use_mymalloc(size_t len) {
    char *buf = mymalloc(len);   /* if len > UINT_MAX, truncated silently */
    /* ... */
}","#include <stdlib.h>
#include <stdint.h>
#include <limits.h>
/* SECURE: keep size as size_t throughout */
void *mymalloc(size_t size) {
    return malloc(size);
}
void use_mymalloc(size_t len) {
    char *buf = mymalloc(len);
    /* ... */
}"
cwe-416,c,process,CERT C MEM30-C,Pointer used after free(),"#include <stdlib.h>
#include <string.h>
/* VULNERABLE: ptr used after free */
void process(char *data, size_t len) {
    char *buf = malloc(len);
    if (!buf) return;
    memcpy(buf, data, len);
    free(buf);
    buf[0] = '\0';  /* CWE-416: use after free */
}","#include <stdlib.h>
#include <string.h>
/* SECURE: set pointer to NULL immediately after free */
void process(char *data, size_t len) {
    char *buf = malloc(len);
    if (!buf) return;
    memcpy(buf, data, len);
    free(buf);
    buf = NULL;  /* prevents accidental use after free */
}"
cwe-416,c,handler,CERT C MEM30-C,Double-free: free() called twice on same pointer,"#include <stdlib.h>
/* VULNERABLE: free called in both branches and in cleanup */
void handler(int err, char *buf) {
    if (err) {
        free(buf);   /* first free on error */
        return;
    }
    /* ... use buf ... */
    free(buf);   /* CWE-416: double free if err path already freed buf */
}","#include <stdlib.h>
/* SECURE: single ownership path; NULL-guard before free */
void handler(int err, char **buf_p) {
    if (err) {
        free(*buf_p);
        *buf_p = NULL;
        return;
    }
    /* ... use *buf_p ... */
    free(*buf_p);
    *buf_p = NULL;
}"
cwe-416,c,free_list,CERT C MEM30-C,"Use-after-free in loop: element freed inside loop, accessed on next iteration","#include <stdlib.h>
typedef struct Node { struct Node *next; int val; } Node;
/* VULNERABLE: node freed, then node->next accessed */
void free_list(Node *head) {
    for (Node *n = head; n != NULL; n = n->next) {
        free(n);   /* CWE-416: n->next accessed after free on next iteration */
    }
}","#include <stdlib.h>
typedef struct Node { struct Node *next; int val; } Node;
/* SECURE: save next pointer before freeing */
void free_list(Node *head) {
    Node *n = head;
    while (n != NULL) {
        Node *next = n->next;  /* save before free */
        free(n);
        n = next;
    }
}"
cwe-416,c,grow_buf,CERT C MEM30-C,realloc failure path leaves original pointer freed,"#include <stdlib.h>
/* VULNERABLE: if realloc returns NULL, original buf is freed by realloc
   but buf is overwritten with NULL, losing the old pointer -> leak + UAF */
char *grow_buf(char *buf, size_t new_size) {
    buf = realloc(buf, new_size);  /* CWE-416: on failure buf is now NULL */
    return buf;
}","#include <stdlib.h>
/* SECURE: use temp pointer so original is not lost on failure */
char *grow_buf(char *buf, size_t new_size) {
    char *tmp = realloc(buf, new_size);
    if (!tmp) {
        free(buf);   /* explicit cleanup of original */
        return NULL;
    }
    return tmp;
}"
cwe-416,c,parse_token,CERT C MEM30-C,"Early return in error handling skips cleanup, leaving dangling pointer","#include <stdlib.h>
#include <string.h>
/* VULNERABLE: token freed early on error path but outer function may still hold ref */
int parse_token(const char *input, char **out) {
    char *token = strdup(input);
    if (!token) return -1;
    if (input[0] == '#') {
        free(token);
        return -2;   /* caller's *out not set, but token freed */
    }
    *out = token;
    return 0;
}","#include <stdlib.h>
#include <string.h>
/* SECURE: always initialise *out; free only on error paths */
int parse_token(const char *input, char **out) {
    *out = NULL;
    char *token = strdup(input);
    if (!token) return -1;
    if (input[0] == '#') {
        free(token);
        return -2;
    }
    *out = token;
    return 0;
}"
cwe-476,c,init_buffer,CERT C EXP34-C,malloc() return value not checked before dereference,"#include <stdlib.h>
#include <string.h>
/* VULNERABLE: malloc may return NULL; memset dereferences it */
void init_buffer(size_t n) {
    char *buf = malloc(n);
    memset(buf, 0, n);  /* CWE-476: if malloc returned NULL */
}","#include <stdlib.h>
#include <string.h>
/* SECURE: check for NULL before use */
void init_buffer(size_t n) {
    char *buf = malloc(n);
    if (!buf) return;   /* or handle error */
    memset(buf, 0, n);
}"
cwe-476,c,read_config,CERT C EXP34-C,fopen() return not checked; NULL file pointer passed to fread(),"#include <stdio.h>
/* VULNERABLE: fopen returns NULL if file missing/no permission */
size_t read_config(const char *path, char *buf, size_t size) {
    FILE *f = fopen(path, ""r"");
    return fread(buf, 1, size, f);  /* CWE-476: f may be NULL */
}","#include <stdio.h>
/* SECURE: check fopen return before use */
size_t read_config(const char *path, char *buf, size_t size) {
    FILE *f = fopen(path, ""r"");
    if (!f) return 0;
    size_t n = fread(buf, 1, size, f);
    fclose(f);
    return n;
}"
cwe-476,c,print_tokens,CERT C EXP34-C,strtok() returns NULL at end of string; NULL deref on next access,"#include <string.h>
#include <stdio.h>
/* VULNERABLE: strtok returns NULL when no more tokens */
void print_tokens(char *str) {
    char *tok = strtok(str, "","");
    while (1) {
        printf(""%s\n"", tok);  /* CWE-476: tok may be NULL */
        tok = strtok(NULL, "","");
    }
}","#include <string.h>
#include <stdio.h>
/* SECURE: check token for NULL before use */
void print_tokens(char *str) {
    char *tok = strtok(str, "","");
    while (tok != NULL) {
        printf(""%s\n"", tok);
        tok = strtok(NULL, "","");
    }
}"
cwe-476,c,build_path,CERT C EXP34-C,getenv() return used without NULL check,"#include <stdlib.h>
#include <string.h>
/* VULNERABLE: HOME may not be set; getenv returns NULL */
void build_path(char *out, size_t out_size, const char *rel) {
    const char *home = getenv(""HOME"");
    snprintf(out, out_size, ""%s/%s"", home, rel);  /* CWE-476 */
}","#include <stdlib.h>
#include <string.h>
/* SECURE: guard against NULL return */
void build_path(char *out, size_t out_size, const char *rel) {
    const char *home = getenv(""HOME"");
    if (!home) home = ""/tmp"";  /* safe fallback */
    snprintf(out, out_size, ""%s/%s"", home, rel);
}"
cwe-476,c,contains_cmd,CERT C EXP34-C,Function returning pointer called without checking result,"#include <string.h>
/* VULNERABLE: strstr may return NULL; caller dereferences without check */
int contains_cmd(const char *input, int *offset) {
    char *p = strstr(input, ""CMD"");
    *offset = (int)(p - input);  /* CWE-476: p may be NULL */
    return p != NULL;
}","#include <string.h>
/* SECURE: check return before arithmetic */
int contains_cmd(const char *input, int *offset) {
    char *p = strstr(input, ""CMD"");
    if (!p) { *offset = -1; return 0; }
    *offset = (int)(p - input);
    return 1;
}"
cwe-022,c,open_user_file,"Wheeler, Secure-Programs-HOWTO §5.4; CERT C FIO02-C",User-supplied filename concatenated into path without canonicalization,"#include <stdio.h>
#include <string.h>
#define BASE ""/var/www/files/""
/* VULNERABLE: user controls filename; ""../../../etc/passwd"" escapes BASE */
FILE *open_user_file(const char *filename) {
    char path[512];
    snprintf(path, sizeof(path), ""%s%s"", BASE, filename);  /* CWE-022 */
    return fopen(path, ""r"");
}","#include <stdio.h>
#include <string.h>
#include <stdlib.h>
#define BASE ""/var/www/files/""
/* SECURE: canonicalize and verify path stays under BASE */
FILE *open_user_file(const char *filename) {
    char path[512];
    snprintf(path, sizeof(path), ""%s%s"", BASE, filename);
    char *resolved = realpath(path, NULL);
    if (!resolved) return NULL;
    if (strncmp(resolved, BASE, strlen(BASE)) != 0) {
        free(resolved);
        return NULL;  /* escaped base directory */
    }
    FILE *f = fopen(resolved, ""r"");
    free(resolved);
    return f;
}"
cwe-022,c,safe_open,CERT C FIO02-C,"Blocking only ""../"" is insufficient; encoded or OS-specific traversal bypasses check","#include <string.h>
#include <stdio.h>
/* VULNERABLE: naive ""../"" check bypassed by ""/etc/passwd"", ""..\\"" etc. */
FILE *safe_open(const char *base, const char *name) {
    if (strstr(name, ""../"") != NULL) return NULL;  /* insufficient guard */
    char path[512];
    snprintf(path, sizeof(path), ""%s/%s"", base, name);
    return fopen(path, ""r"");
}","#include <string.h>
#include <stdio.h>
#include <stdlib.h>
/* SECURE: resolve canonical path and verify prefix */
FILE *safe_open(const char *base, const char *name) {
    char raw[512];
    snprintf(raw, sizeof(raw), ""%s/%s"", base, name);
    char *real = realpath(raw, NULL);
    if (!real) return NULL;
    char *real_base = realpath(base, NULL);
    if (!real_base) { free(real); return NULL; }
    int ok = strncmp(real, real_base, strlen(real_base)) == 0;
    free(real_base);
    if (!ok) { free(real); return NULL; }
    FILE *f = fopen(real, ""r"");
    free(real);
    return f;
}"
cwe-022,c,get_file,CERT C FIO02-C,File opened with user-controlled absolute path (no base directory enforced),"#include <stdio.h>
/* VULNERABLE: accepts absolute paths from user input */
FILE *get_file(const char *user_path) {
    return fopen(user_path, ""r"");  /* CWE-022: any path accessible */
}","#include <stdio.h>
#include <string.h>
#include <stdlib.h>
#define ALLOWED_DIR ""/srv/data/""
/* SECURE: enforce base directory */
FILE *get_file(const char *user_path) {
    /* reject absolute paths from user */
    if (user_path[0] == '/') return NULL;
    char raw[512];
    snprintf(raw, sizeof(raw), ""%s%s"", ALLOWED_DIR, user_path);
    char *canon = realpath(raw, NULL);
    if (!canon) return NULL;
    if (strncmp(canon, ALLOWED_DIR, strlen(ALLOWED_DIR)) != 0) {
        free(canon);
        return NULL;
    }
    FILE *f = fopen(canon, ""r"");
    free(canon);
    return f;
}"
cwe-022,c,open_in_sandbox,"Wheeler, Secure-Programs-HOWTO §5.4",chdir without chroot allows parent traversal via relative paths,"#include <unistd.h>
#include <stdio.h>
/* VULNERABLE: chdir alone does not prevent ""../"" traversal */
FILE *open_in_sandbox(const char *sandbox, const char *name) {
    chdir(sandbox);
    return fopen(name, ""r"");  /* CWE-022: ""../../etc/passwd"" still works */
}","#include <unistd.h>
#include <stdio.h>
#include <string.h>
#include <stdlib.h>
/* SECURE: chroot + validate name has no path separators */
FILE *open_in_sandbox(const char *sandbox, const char *name) {
    if (strchr(name, '/') || strchr(name, '\\')) return NULL;
    char raw[512];
    snprintf(raw, sizeof(raw), ""%s/%s"", sandbox, name);
    char *canon = realpath(raw, NULL);
    if (!canon) return NULL;
    char *base = realpath(sandbox, NULL);
    if (!base) { free(canon); return NULL; }
    int ok = strncmp(canon, base, strlen(base)) == 0;
    free(base);
    if (!ok) { free(canon); return NULL; }
    FILE *f = fopen(canon, ""r"");
    free(canon);
    return f;
}"
cwe-022,c,open_log,CERT C FIO02-C; Wheeler §5.4,Path built from multiple user components without join sanitization,"#include <stdio.h>
#include <string.h>
/* VULNERABLE: both dir and file come from user; no traversal check */
FILE *open_log(const char *user_dir, const char *user_file) {
    char path[512];
    snprintf(path, sizeof(path), ""/logs/%s/%s"", user_dir, user_file);
    return fopen(path, ""a"");  /* CWE-022 */
}","#include <stdio.h>
#include <string.h>
#include <stdlib.h>
#define LOG_BASE ""/logs/""
/* SECURE: canonicalize after join; confirm base prefix */
FILE *open_log(const char *user_dir, const char *user_file) {
    char raw[512];
    snprintf(raw, sizeof(raw), ""%s%s/%s"", LOG_BASE, user_dir, user_file);
    char *canon = realpath(raw, NULL);
    if (!canon) return NULL;
    if (strncmp(canon, LOG_BASE, strlen(LOG_BASE)) != 0) {
        free(canon);
        return NULL;
    }
    FILE *f = fopen(canon, ""a"");
    free(canon);
    return f;
}"
cwe-787,cpp,insert_in_table,CERT C++ CTR50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/containers-ctr/ctr50-cpp,Signed int index allows negative values which pass the upper-bound check but cause an out-of-bounds write; fix changes pos to size_t,"#include <cstddef>

/* VULNERABLE: signed int pos can be negative, bypassing upper-bound check */
void insert_in_table(int *table, std::size_t tableSize, int pos, int value) {
  if (pos >= (int)tableSize) {
    return;  /* negative pos passes this check */
  }
  table[pos] = value;  /* CWE-787: negative pos writes before table start */
}","#include <cstddef>

/* SECURE: size_t pos cannot be negative */
void insert_in_table(int *table, std::size_t tableSize, std::size_t pos, int value) {
  if (pos >= tableSize) {
    return;
  }
  table[pos] = value;
}"
cwe-787,cpp,insert_in_table_vec,CERT C++ CTR50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/containers-ctr/ctr50-cpp,std::vector indexed with signed long long; negative value may pass size() comparison due to implicit signed/unsigned conversion; fix uses size_t,"#include <vector>

/* VULNERABLE: long long pos can be negative; implicit conversion may make
   negative pos appear larger than table.size() check passes */
void insert_in_table(std::vector<int> &table, long long pos, int value) {
  if (pos >= (long long)table.size()) {
    return;
  }
  table[pos] = value;  /* CWE-787: negative pos interpreted as huge unsigned index */
}","#include <vector>

/* SECURE: size_t pos cannot be negative */
void insert_in_table(std::vector<int> &table, std::size_t pos, int value) {
  if (pos >= table.size()) {
    return;
  }
  table[pos] = value;
}"
cwe-125,cpp,insert_in_table_at,CERT C++ CTR50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/containers-ctr/ctr50-cpp,operator[] on std::vector performs no bounds check; fix uses at() which throws std::out_of_range on an invalid index,"#include <vector>

/* VULNERABLE: operator[] has no bounds checking — silent OOB access */
void insert_in_table(std::vector<int> &table, std::size_t pos, int value) {
  if (pos >= table.size()) {
    return;
  }
  table[pos] = value;  /* CWE-125: if size check is bypassed, UB */
}","#include <vector>

/* SECURE: at() throws std::out_of_range if pos is out of bounds */
void insert_in_table(std::vector<int> &table, std::size_t pos, int value) noexcept(false) {
  table.at(pos) = value;
}"
cwe-125,cpp,f_imp,CERT C++ CTR50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/containers-ctr/ctr50-cpp,do-while loop dereferences iterator before checking validity; if container is empty b equals e and the first dereference is undefined; fix checks b != e first,"#include <iterator>

/* VULNERABLE: dereferences b before checking b != e; UB on empty range */
template <typename ForwardIterator>
void f_imp(ForwardIterator b, ForwardIterator e, int val,
           std::forward_iterator_tag) {
  do {
    *b++ = val;  /* CWE-125: b may already equal e */
  } while (b != e);
}

template <typename ForwardIterator>
void f(ForwardIterator b, ForwardIterator e, int val) {
  typename std::iterator_traits<ForwardIterator>::iterator_category cat;
  f_imp(b, e, val, cat);
}","#include <iterator>

/* SECURE: checks validity before dereferencing */
template <typename ForwardIterator>
void f_imp(ForwardIterator b, ForwardIterator e, int val,
           std::forward_iterator_tag) {
  while (b != e) {
    *b++ = val;
  }
}

template <typename ForwardIterator>
void f(ForwardIterator b, ForwardIterator e, int val) {
  typename std::iterator_traits<ForwardIterator>::iterator_category cat;
  f_imp(b, e, val, cat);
}"
cwe-416,cpp,g_delete_then_use,CERT C++ MEM50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/memory-management-mem/mem50-cpp,Object deleted then member function called through dangling pointer; write-after-free can enable arbitrary code execution; fix calls f() before delete,"#include <new>

struct S { void f(); };

/* VULNERABLE: s is used after being deleted (dangling pointer) */
void g() noexcept(false) {
  S *s = new S;
  // ...
  delete s;
  // ...
  s->f();  /* CWE-416: use after free -- undefined behavior */
}","#include <new>

struct S { void f(); };

/* SECURE: use s before deleting it */
void g() noexcept(false) {
  S *s = new S;
  // ...
  s->f();
  delete s;
}"
cwe-416,cpp,main_buff_scope,CERT C++ MEM50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/memory-management-mem/mem50-cpp,unique_ptr destroyed at end of inner try block; raw pointer s retains address of freed memory and is accessed after scope exit; fix moves buff to outer scope,"#include <iostream>
#include <memory>
#include <cstring>

/* VULNERABLE: buff destroyed at end of try block; s points to freed memory */
int main(int argc, const char *argv[]) {
  const char *s = """";
  if (argc > 1) {
    enum { BufferSize = 32 };
    try {
      std::unique_ptr<char[]> buff(new char[BufferSize]);
      std::memset(buff.get(), 0, BufferSize);
      s = std::strncpy(buff.get(), argv[1], BufferSize - 1);
    } catch (std::bad_alloc &) { }
  }
  std::cout << s << std::endl;  /* CWE-416: s may point to freed memory */
}","#include <iostream>
#include <memory>
#include <cstring>

/* SECURE: buff lifetime extended past point of use */
int main(int argc, const char *argv[]) {
  std::unique_ptr<char[]> buff;
  const char *s = """";
  if (argc > 1) {
    enum { BufferSize = 32 };
    try {
      buff.reset(new char[BufferSize]);
      std::memset(buff.get(), 0, BufferSize);
      s = std::strncpy(buff.get(), argv[1], BufferSize - 1);
    } catch (std::bad_alloc &) { }
  }
  std::cout << s << std::endl;
}"
cwe-416,cpp,f_cstr_dangling,CERT C++ MEM50-CPP; https://cmu-sei.github.io/secure-coding-standards/sei-cert-cpp-coding-standard/rules/memory-management-mem/mem50-cpp,c_str() called on a temporary std::string; the temporary is destroyed at end of expression leaving str a dangling pointer; fix stores string in named variable,"#include <string>

std::string str_func();
void display_string(const char *);

/* VULNERABLE: temporary string destroyed after assignment expression; str dangles */
void f() {
  const char *str = str_func().c_str();
  display_string(str);  /* CWE-416: undefined behavior -- dangling pointer */
}","#include <string>

std::string str_func();
void display_string(const char *s);

/* SECURE: named variable keeps the string alive past the call */
void f() {
  std::string str = str_func();
  const char *cstr = str.c_str();
  display_string(cstr);  /* ok: str is still in scope */
}"
cwe-476,cpp,func_png_malloc,CERT C EXP34-C (applies in C++); https://cmu-sei.github.io/secure-coding-standards/sei-cert-c-coding-standard/rules/expressions-exp/exp34-c,png_malloc may return null if length+1 wraps to 0; chunkdata used as memcpy destination without null check; fix validates length and checks for null return,"#include <png.h>
#include <string.h>

/* VULNERABLE: png_malloc may return NULL; used without null check */
void func(png_structp png_ptr, int length, const void *user_data) {
  png_charp chunkdata;
  chunkdata = (png_charp)png_malloc(png_ptr, length + 1);
  /* ... */
  memcpy(chunkdata, user_data, length);  /* CWE-476: chunkdata may be NULL */
  /* ... */
}","#include <png.h>
#include <string.h>

/* SECURE: validate length, check user_data and malloc return for NULL */
void func(png_structp png_ptr, size_t length, const void *user_data) {
  png_charp chunkdata;
  if (length == SIZE_MAX) { /* Handle error */ return; }
  if (NULL == user_data)   { /* Handle error */ return; }
  chunkdata = (png_charp)png_malloc(png_ptr, length + 1);
  if (NULL == chunkdata)   { /* Handle error */ return; }
  /* ... */
  memcpy(chunkdata, user_data, length);
  /* ... */
}"
